mouse_num,Sex,strain,dob,N-TVA,Cas9,Ink,death date
30212-00,F,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30213-00,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30214-01,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30215-03,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30216-10,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30217-11,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
30218-30,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,Tg/+,Flox/Flox,Flox/Flox,10/7/2022
